last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Lopez, Yoan,661255,96.2,,,84.3,91.5,,,
Martin, Chris,455119,95.9,95.2,91.6,86.1,89.0,,,
Urquidy, Jose,664353,93.4,,,82.3,84.5,79.0,,
Miller, Shelby,571946,94.3,94.2,88.6,,86.7,79.4,,
Civale, Aaron,650644,92.0,92.6,87.9,83.6,84.2,75.5,,
Jeffress, Jeremy,502026,94.0,93.7,,,,81.0,90.2,
Martinez, Carlos,593372,96.7,94.4,93.9,86.2,88.2,,,
Kintzler, Brandon,445213,93.1,92.6,,86.7,87.5,,,
Harper, Ryne,607560,89.3,,87.7,,76.1,74.1,,
Dyson, Sam,473879,94.0,93.8,91.1,82.8,87.3,,,
Davis, Wade,451584,93.2,92.8,88.9,,90.6,82.8,,
Allard, Kolby,663465,92.4,,87.7,,81.6,77.6,,
Taylor, Josh,657031,94.8,94.8,,87.5,88.6,80.0,,
Marshall, Evan,605359,93.7,93.4,,,87.6,83.2,,
Nicasio, Juan,504379,93.8,93.1,,86.7,84.7,,,
Ferguson, Caleb,657571,94.4,,,,85.8,76.2,,
Kittredge, Andrew,552640,95.2,94.8,,88.3,85.8,,,
Watson, Tony,453265,94.2,93.0,,85.6,86.1,,,
Kolarek, Adam,592473,91.6,88.9,83.0,75.7,81.4,,,
Giles, Ken,571704,96.9,97.4,,86.4,,,,
Elias, Roenis,606273,93.9,93.7,,,86.6,77.5,,
Cimber, Adam,643256,85.9,84.9,,75.4,,,87.4,
Bard, Luke,572703,94.2,94.2,,86.0,87.1,,,
Smeltzer, Devin,656970,89.1,,,82.7,82.9,77.0,,
Rodriguez, Jefry,622446,93.9,93.4,,,87.8,80.9,,
Buchter, Ryan,488748,92.4,,89.7,,,77.6,,
Brice, Austin,592169,93.1,93.3,,,87.1,81.7,,
Toussaint, Touki,657053,93.7,93.2,,,,77.5,86.4,
Hernandez, David,456696,93.6,93.4,85.9,,88.0,82.0,,
Johnson, Brian,598271,88.9,88.9,,77.6,84.1,74.9,,
Yacabonis, Jimmy,642231,93.2,93.7,,82.7,87.0,,,
Kelley, Shawn,518875,91.9,,,82.4,83.3,,,
Suarez, Ranger,624133,92.9,91.9,,84.9,84.9,,,
Bleier, Richard,542947,85.8,89.0,87.5,79.7,81.4,,,
Garcia, Jarlin,606424,93.3,,,84.4,86.9,,,
Keller, Mitch,656605,95.4,,,87.6,91.0,81.1,,
Ruiz, Jose,614179,96.4,,,88.3,86.9,82.1,,
Wood, Hunter,621056,93.6,,,86.6,86.2,76.7,,
Sims, Lucas,608371,93.5,95.2,,83.3,86.5,81.6,,
Vincent, Nick,543883,88.9,89.4,86.9,83.5,83.7,,,
Shafer, Justin,596101,94.3,92.3,90.1,85.6,,,,
Floro, Dylan,571670,94.0,93.7,,87.9,87.1,,,
Richard, Clayton,453385,91.0,90.2,,79.6,82.0,,,
Strop, Pedro,467008,93.5,93.5,88.4,83.1,,,88.7,
Garcia, Edgar,658305,93.8,94.3,,87.1,89.1,,,
Pruitt, Austin,643493,91.9,91.0,,87.4,86.1,81.6,,
Hembree, Heath,592390,93.6,,,87.5,,81.7,,
Morin, Mike,573046,91.6,91.1,,81.7,72.6,,,
Sandoval, Patrick,663776,93.0,,,86.6,83.6,78.0,,
Bass, Anthony,542914,95.3,95.3,,87.3,,,86.6,
Brennan, Brandon,592165,94.5,94.7,,87.1,84.6,,,
Santiago, Hector,502327,91.8,92.5,,85.0,83.9,74.6,,
Goody, Nick,580792,92.6,,,82.3,,,,
Kline, Branden,571858,96.2,,,86.6,87.6,,,
Barraclough, Kyle,607457,93.4,,,82.5,87.4,80.2,,
Grace, Matt,594840,,91.2,88.9,83.4,85.3,77.8,,
Sadler, Casey,594987,93.3,93.4,90.2,,86.8,81.7,,
Rodon, Carlos,607074,91.4,95.3,,83.8,84.1,,,
Gonsolin, Tony,664062,93.6,,,88.0,,80.5,86.6,
Wilson, Justin,458677,95.0,,90.1,83.8,,,,
Holder, Jonathan,656547,92.1,,85.0,80.9,86.0,,,
Brigham, Jeff,656257,96.6,,,83.0,,,,
Hardy, Blaine,543278,88.2,88.8,86.1,,79.2,76.5,,
Alcantara, Victor,622505,,93.4,,89.2,88.2,,,
